Ticker,MarketCap,PE,ROE,DebtToEquity,Beta,DividendYield
GPC,18009245696.0,22.282274,0.16994,133.159,0.745,3.18
GM,77841883136.0,15.603055,0.04442,195.437,1.305,0.73
GIS,25140928512.0,8.888469,0.30866,151.352,-0.076,5.19
GE,316785065984.0,39.99063,0.42131,115.246,1.405,0.48
GD,91162943488.0,21.88651,0.17782,40.419,0.405,1.78
GEN,16885686272.0,30.08791,0.25027,356.98,1.112,1.83
IT,18732490752.0,21.601748,1.0925701,512.089,1.081,
GRMN,39853944832.0,25.497536,0.19655001,2.342,1.014,1.74
FCX,68264144896.0,33.24476,0.14538999,30.589,1.484,1.26
BEN,12227179520.0,25.791206,0.03818,23.699,1.494,5.45
FTV,18493464576.0,21.519686,0.103649996,52.244,1.043,0.44
FTNT,63193960448.0,33.93827,2.28043,148.116,1.101,
F,54468096000.0,11.683762,0.10295,346.673,1.611,4.39
FMC,1643948032.0,,-0.11455,122.645,0.659,13.83
FI,34314950656.0,9.860897,0.1354,120.581,0.794,
FE,25434613760.0,19.143478,0.11192001,193.669,0.648,4.04
FITB,31459121152.0,14.205971,0.115109995,,1.007,3.36
FIS,34800865280.0,208.18752,0.011829999,94.272,0.928,2.4
FDX,66647977984.0,16.556858,0.15004,,1.332,2.05
FRT,8690339840.0,25.411167,0.10516,138.76,1.017,4.51
FAST,48607834112.0,39.57009,0.32742,13.283,0.884,2.08
FDS,11077385216.0,18.830334,0.29132,71.282,0.744,1.5
FFIV,15002224640.0,21.88644,0.20602,7.288,0.993,
XOM,488909176832.0,16.668604,0.11424,15.672,0.379,3.59
EXR,28963309568.0,29.239374,0.06786,94.252,1.269,4.96
EXPD,20355063808.0,24.466557,0.36505002,24.549,1.143,1.03
EXPE,35261415424.0,27.485052,0.53886,250.289,1.442,0.56
EXC,44197040128.0,15.6845875,0.10308,177.601,0.55,3.66
ES,25471590400.0,18.754145,0.0861,184.357,0.767,4.43
EG,13741516800.0,24.338291,0.03595,23.337,0.38,2.44
ESS,17642850304.0,19.410336,0.15987,115.144,0.728,4.02
EQR,23901014016.0,19.976974,0.10444,76.237,0.759,4.56
EQIX,74439778304.0,69.42766,0.077,147.969,1.037,2.47
EFX,26922321920.0,41.31002,0.13066,94.824,1.586,0.92
EQT,33275457536.0,17.368078,0.08488,30.675,0.621,1.24
EOG,55571210240.0,10.107249,0.18476999,26.835,0.504,4.01
ETR,41448656896.0,22.859606,0.11188,179.362,0.616,2.76
EMR,75399086080.0,33.190594,0.09363,67.785,1.254,1.66
LLY,945125457920.0,51.554523,0.9647,178.516,0.369,0.59
ELV,79240241152.0,14.345698,0.12569,72.823,0.525,1.94
EA,51071672320.0,59.533527,0.13201,36.65,0.757,0.37
EW,50091372544.0,37.421055,0.13492,6.862,0.967,
EIX,22443520000.0,7.6435122,0.15765001,204.02,0.831,6.02
ECL,73609166848.0,37.28879,0.21869,103.915,0.982,1.13
EBAY,37323190272.0,18.108646,0.42430001,151.155,1.341,1.42
ETN,128441745408.0,32.993,0.20653,59.661,1.168,1.26
DD,16947552256.0,23.381502,0.03217,39.673,1.137,3.54
DUK,89889857536.0,18.20315,0.09905,170.344,0.477,3.69
DTE,26720495616.0,19.31832,0.11658,207.975,0.467,3.45
DOV,26965694464.0,25.56697,0.15883,40.076,1.309,1.06
D,50671214592.0,19.392157,0.09204,154.315,0.68,4.5
DLTR,26750380032.0,24.792059,0.20066999,221.055,0.752,
DG,29608187904.0,23.271624,0.16450001,201.663,0.276,1.75
DFS,,,,,,
DLR,52553596928.0,38.932644,0.05825,79.248,1.123,3.25
DXCM,26027345920.0,36.872223,0.30635,94.479,1.515,
DVN,22275131392.0,8.275944,0.18586999,56.274,0.673,2.74
DAL,46451769344.0,10.03385,0.28514,117.299,1.376,1.05
DE,131228704768.0,26.24,0.20427999,245.842,1.007,1.33
DHR,160896794624.0,46.3299,0.06843,35.544,0.923,0.57
DHI,45304430592.0,13.407087,0.14321,24.514,1.38,1.16
CVS,99383869440.0,206.02632,0.0057800002,111.821,0.48,3.4
CMI,71023796224.0,26.673407,0.22767,62.949,1.104,1.55
CSX,68605390848.0,23.896105,0.22589001,155.283,1.299,1.41
CCI,38278606848.0,,-2.06679,,0.959,4.84
CTRA,19307440128.0,11.712962,0.118549995,27.957,0.309,3.48
COST,381943480320.0,46.08409,0.30325,26.737,0.982,0.6
CSGP,26963605504.0,1060.3334,0.00252,13.126,0.839,
GLW,73981624320.0,55.314106,0.12739,76.51,1.109,1.3
CPRT,37897891840.0,24.018406,0.18124,1.039,1.119,
STZ,24820170752.0,20.755459,0.15912,135.429,0.459,2.86
ED,35696533504.0,17.29021,0.08839,110.373,0.362,3.44
COP,113366491136.0,12.8206215,0.15421,36.169,0.328,3.7
CAG,8485958144.0,10.022599,0.096540004,92.867,-0.016,7.89
CMA,11208822784.0,16.770554,0.096920006,,1.077,3.24
CMCSA,109769302016.0,4.938538,0.24186,101.462,0.829,4.44
CL,63809028096.0,22.114845,2.93635,680.048,0.295,2.63
CTSH,40844550144.0,19.358795,0.14501001,7.854,0.967,1.48
KO,302849064960.0,23.301325,0.42442,144.771,0.393,2.9
CMS,21274996736.0,20.146975,0.11233,191.676,0.471,3.1
CME,98425716736.0,26.448645,0.13346,13.372,0.293,1.83
CLX,12176080896.0,15.67033,4.43646,2230.435,0.568,4.97
CFG,25078630400.0,16.285715,0.067140006,,1.106,3.16
C,204855115776.0,15.629213,0.06995,,1.196,2.16
CSCO,306407407616.0,29.942087,0.22418,63.228,0.864,2.11
CTAS,75601575936.0,41.693333,0.42187,56.254,0.963,0.96
CINF,25867786240.0,12.3172,0.14529,5.732,0.695,2.1
CHD,20597116928.0,26.671925,0.18594,56.855,0.454,1.4
CB,124008636416.0,13.003345,0.1364,30.958,0.522,1.25
CMG,47815958528.0,31.557522,0.44958,154.574,0.991,
CVX,295675199488.0,20.669014,0.07316,21.239,0.673,4.66
CHTR,28860309504.0,5.8577766,0.31327,497.907,1.065,
CF,12561003520.0,9.377267,0.21967,44.133,0.679,2.58
CNP,24841637888.0,24.082277,0.09606,202.111,0.558,2.42
CNC,19154458624.0,,-0.2186,83.51,0.476,
COR,66291437568.0,42.92965,1.23751,534.1,0.633,0.7
CE,4484225536.0,,-0.50508,301.53,1.121,0.29
CDW,19006429184.0,18.356962,0.43007,239.737,1.063,1.74
CBRE,47823192064.0,39.875927,0.14091,104.121,1.337,
CBOE,26055438336.0,26.74436,0.21621001,32.645,0.353,1.16
CAT,275901284352.0,30.217035,0.46283,201.046,1.563,1.03
CCL,38235877376.0,14.536082,0.25733998,233.568,2.536,
KMX,6097432064.0,11.914956,0.084180005,311.84,1.292,
CAH,47017680896.0,29.847662,,,0.635,1.03
COF,154513784832.0,82.74315,0.01615,,1.166,1.32
CPB,8550490112.0,14.7835045,0.14815,184.567,-0.057,5.44
CPT,11263346688.0,42.676113,0.059310004,81.136,0.825,3.98
CDNS,87068721152.0,82.565895,0.21736,47.685,1.051,
CHRW,18788536320.0,32.12929,0.34318,80.904,0.906,1.58
BG,18457722880.0,10.38964,0.09758,102.816,0.778,3.03
BRO,27644841984.0,24.536364,0.10695,64.746,0.815,0.82
BR,26552018944.0,29.088234,0.38215,132.063,0.994,1.71
AVGO,1611743100928.0,71.401665,0.31048,166.032,1.204,0.76
BMY,110398889984.0,18.259258,0.33777002,274.414,0.302,4.65
BSX,137792978944.0,49.70588,0.12488,50.973,0.674,
BXP,12506585088.0,,-0.01883,231.148,1.008,3.96
BWA,9633811456.0,62.704227,0.0304,66.016,1.044,1.53
BKNG,176210280448.0,35.33457,,,1.254,0.71
BA,161868660736.0,,,,1.175,
BX,186623377408.0,43.70402,0.26457,65.942,1.762,3.08
BLK,165722898432.0,27.472736,0.120740004,24.32,1.484,1.95
BIIB,25159440384.0,15.619308,0.09307,36.194,0.128,
BIO,8146939904.0,,-0.09503,20.712,1.187,
BBY,15257553920.0,23.966997,0.22493,154.542,1.391,5.23
BRK-B,1078322200576.0,15.974432,0.1017,18.166,0.703,
BDX,56290766848.0,33.802067,0.06544,78.85,0.277,2.14
BAX,9792762880.0,,-0.04658,134.627,0.607,2.73
BBWI,4049523968.0,6.0804954,,,1.474,4.07
BK,80644284416.0,16.500721,0.121520005,,1.12,1.85
BAC,405974777856.0,14.9754095,0.09871,,1.304,2.04
BALL,14086426624.0,20.140078,0.117469996,138.426,1.135,1.55
AVY,14154332160.0,20.78547,0.30211002,171.013,1.015,2.05
AVB,25193252864.0,21.604397,0.09754,73.165,0.743,3.96
AZO,56677908480.0,23.809795,,,0.405,
ADP,106202316800.0,25.906128,0.70572996,154.917,0.86,2.59
ADSK,62617743360.0,57.194557,0.40333998,94.504,1.475,
ATO,27164481536.0,22.520107,0.09323,68.616,0.747,2.38
T,172109774848.0,7.840391,0.19139999,124.412,0.593,4.61
AIZ,11773144064.0,14.2268305,0.15413,38.316,0.573,1.51
AJG,64709722112.0,40.3168,0.090670004,58.979,0.688,1.03
ANET,158833623040.0,47.776512,0.31736,,1.411,
ADM,27863433216.0,23.569105,0.05242,40.467,0.686,3.52
ACGL,35672395776.0,8.957826,0.17811,11.501,0.447,
APTV,16858963968.0,58.651512,0.03294,85.425,1.516,
AMAT,206202929152.0,29.854671,0.35508,34.533,1.666,0.71
AAPL,4075319197696.0,36.76171,1.7142199,152.411,1.107,0.38
APA,8572563456.0,5.7320576,0.27427998,66.895,0.755,4.17
ANSS,,,,,,
ADI,136319705088.0,60.919033,0.06573,26.5,1.039,1.42
APH,158062297088.0,43.043335,0.34807998,63.99,1.194,0.77
AMGN,175943155712.0,25.250387,0.8171,567.491,0.447,2.96
AME,46601887744.0,31.826498,0.14632,26.09,1.047,0.61
AMP,45872545792.0,13.38652,0.59589,54.222,1.263,1.32
AWK,25896800256.0,23.325132,0.10457,140.983,0.751,2.49
AMT,83877847040.0,28.56938,0.28839,418.09,0.915,3.8
AIG,46835486720.0,15.205036,0.07688,22.48,0.626,2.13
AXP,264957165568.0,25.570852,0.33935001,185.273,1.147,0.83
AEP,61325381632.0,16.774525,0.12923001,152.132,0.598,3.32
AAL,10554782720.0,18.37931,,,1.262,
AEE,26505795584.0,18.84423,0.11387,155.736,0.581,2.9
AMZN,2379214487552.0,31.435028,0.24327,43.405,1.372,
MO,99667935232.0,11.32252,,,0.5,7.15
GOOGL,3713213399040.0,30.29348,0.3545,11.424,1.07,0.27
LNT,16775324672.0,20.522013,0.11461,163.145,0.654,3.11
ALLE,13736721408.0,21.606224,0.36411,116.084,1.043,1.28
ARE,8117593088.0,,-0.01084,66.083,1.329,9.96
ALB,15426617344.0,,0.00209,36.655,1.431,1.24
AKAM,12622735360.0,25.730204,0.10642,110.548,0.682,
APD,53922852864.0,,-0.01923,106.228,0.863,2.96
A,39460421632.0,30.45733,0.20618999,49.755,1.274,0.73
AFL,58558697472.0,14.387648,0.1558,50.003,0.658,2.23
AES,9699087360.0,8.960526,0.05106,302.896,1.001,5.17
ADBE,147574947840.0,20.831736,0.55426,57.197,1.54,
ACN,179642400768.0,22.371712,0.25509,25.38,1.261,2.4
ABBV,395310891008.0,169.44696,1.37961,,0.349,3.09
ABT,220794634240.0,15.957233,0.3062,25.31,0.714,1.99
AOS,9520404480.0,18.31267,0.28209,12.063,1.335,2.03
MMM,86925164544.0,26.028708,0.72920996,281.904,1.148,1.79
